sonic,rmse_0-6h_dir,bias_0-6h_dir,rmse_6-12h_dir,bias_6-12h_dir,rmse_12-18h_dir,bias_12-18h_dir,rmse_18-24h_dir,bias_18-24h_dir
tnw13.6m,84.1447144615137,4.6346438983493385,112.24117475005956,-49.83839080865648,26.97703679784572,-12.8416239590115,81.23268237332036,-12.13991063047197
tnw13.8m,83.4405040242056,5.311432726881242,99.0486809083972,-25.96270707794825,32.21739699852631,-18.56694240409003,79.65358345197201,-23.89833372033013
tnw13.10m,78.53267141213887,7.216558301798501,90.82599009528364,-13.354420490349662,32.65366189226022,-21.09182976211548,76.94949795610688,-20.416505986323884
tnw13.12m,65.81905141011751,10.604622257720106,88.81115710488191,7.402414503913459,33.16981420333991,-16.340058226665917,75.41220236536564,-13.007779204855892
tnw13.20m,63.35056484390032,7.4830717597431615,69.5063861218952,22.8652329858712,37.820415404112296,-8.366405742848714,74.1563001617174,-11.130781902709533
tnw13.30m,63.2168390651174,-12.98631954067018,73.21615333351042,43.5726120812019,39.26764665950719,-17.129792174127367,69.03908152560305,-17.82058506677522
tnw14.2m,75.94774815485344,-2.691754092407224,118.27834500145224,4.515320179579001,63.98253800982314,-38.36236860326131,101.78284510905095,23.40803718676461
tnw14.4m,79.24529151710132,25.991116236368818,109.93659238526428,-27.243995335557727,48.30794924349847,-11.299246850201657,99.03015655058304,4.094357745929297
tnw14.6m,80.81659032499581,25.54638724161784,114.44012438090014,-23.46682627868653,52.19044637888069,-10.167453607593112,89.22512832031892,11.221844290508692
tnw14.8m,80.29412082094741,21.366950596110023,117.50417143617808,-36.751128033108174,57.385276930902165,-11.355855277057223,85.83918710619545,17.23581288989279
tnw14.10m,80.56465339038559,23.363650466240777,118.22113928505576,-11.822394039577908,51.57812367879888,-11.132740199230511,86.57019471191484,10.57619455812534
tnw14.12m,75.48538187339904,21.34363051317003,116.19388870261034,4.838657408650718,51.86627774978747,-2.300613695810104,82.8907464594238,3.1151923873869576
tnw14.20m,71.55755488877564,6.558971220440335,99.88095061984902,34.82179785470963,65.11009029225109,-13.509711995563505,68.0255397982916,-1.902221335261664
tnw14.30m,72.63385467898972,-6.661063867934541,97.24340023129903,38.27989284629106,58.41884293647433,-4.177769556973774,74.82923783188379,-12.82399172835668
tnw15.2m,83.33216789225031,15.576056592814128,102.25243753748492,-47.13313327738443,53.196360807216685,-17.737870490264893,109.80657738349156,56.00790006402757
tnw15.4m,80.20964707476345,14.218501846991652,102.22480506595949,-43.410363553534616,52.98772090440848,-11.517442761976454,93.82283946557052,25.661752929814657
tnw15.6m,81.6804135804891,22.604488953653973,111.73757029231108,-12.368230413140184,61.771019547437135,-12.568051475096809,86.91323917471074,38.90045300013754
tnw15.8m,82.20713863231322,21.608442917887373,110.75925394272402,-14.971956064181857,64.7999629178674,-4.165393574492136,83.44451691298693,40.73705847961389
tnw15.10m,79.07705906308429,15.393906688096788,113.7564923496948,-6.258461287095813,67.79050970899463,-6.953219026620123,85.11039093352052,22.56877182009273
tnw15.12m,76.25070033165245,3.115568844265411,116.6838287611077,9.886514996032725,73.87975343751556,-5.048087756131486,83.62566728464618,13.207445287594265
