sonic,rmse_0-6h_vh,bias_0-6h_vh,rmse_6-12h_vh,bias_6-12h_vh,rmse_12-18h_vh,bias_12-18h_vh,rmse_18-24h_vh,bias_18-24h_vh
tnw12.30m,2.286166593191726,1.8977713603511783,0.5223324097404002,-0.0241274997718598,0.7731509927537583,0.3782282037840949,1.45283701092797,1.1558563739985888
tnw13.2m,0.2844219247978383,-0.1816008417547819,0.3902165290084813,-0.0483270832632335,0.6568013823665164,0.6353012365064357,0.6009075022935636,0.5643570523411565
tnw13.4m,0.3156748166495283,0.0287459146220684,0.693540356137669,0.3502887576145265,1.4739882712546395,1.454509295171036,1.3793048545751885,1.3333478110021353
tnw13.6m,0.544859070222046,0.3996096959405343,0.8378186755955122,0.6015356486971378,1.810519358114043,1.7918916658639246,1.684114196205405,1.6428310794844891
tnw13.8m,0.81104397077294,0.690829820002887,0.9622288233065238,0.7676219233229193,2.196673229227246,2.1802606628492804,1.941415294031393,1.902584388998184
tnw13.10m,0.8288976889288765,0.711650005240235,0.9638110187084478,0.7751102712423867,1.9901235436165456,1.9656919219452804,1.965010938805496,1.9192988500400383
tnw13.12m,0.7871243591886453,0.6661777317175601,0.9338421905835792,0.7221681989178658,1.8466386766471767,1.8126944489673773,1.855858716014644,1.7964681996715068
tnw13.20m,0.6616348378912551,0.4152879759428236,0.6071950704360178,0.3045891641635629,1.222883271336897,1.0876033292574354,1.4517051761704178,1.2602112688342728
tnw13.30m,0.8748430669440409,0.5962820090596542,0.6227567442177121,0.2265513099120988,0.9876783603508148,0.7298198632452222,1.334969774329189,1.0773990045506423
tnw14.2m,0.7151479887779414,0.2368711291268136,0.4835300405761485,-0.2671895602515273,0.99365648562699,0.9728346029178764,1.0271565430040268,0.9574967441098954
tnw14.4m,0.8713958018527882,0.5506954900252554,0.3626616751007276,0.0127513038808504,1.1393286314249902,1.120405705816282,1.1668647266982006,1.1118619819332891
tnw14.6m,1.235595753473179,0.9237055707314809,0.4463377158884074,0.194647834247099,1.5366033393967486,1.5184109243220754,1.4879815573921291,1.4382659412595298
tnw14.8m,1.345196175906243,0.9985103540207014,0.4902015838214961,0.1868834205781618,1.6707725837191836,1.6533363019020355,1.598245999557422,1.546236195627385
tnw14.10m,1.5121315754768674,1.160712658290916,0.5321404356833334,0.2779842452002101,1.6851256650066304,1.6648572783560225,1.6534685809172138,1.5996795533564354
tnw14.12m,1.482446083117546,1.131880733780265,0.5509220786076025,0.2953487458077669,1.5526039725617815,1.520166384213434,1.597512452111702,1.5216828430387046
tnw14.20m,1.1130086485342303,0.8804266474235454,0.5595924842589471,0.2777955947161166,1.0811344394032023,0.8956387446770403,1.3306544123813684,1.1202702282849946
tnw14.30m,0.9297072367501072,0.5527663219605154,0.5537222913878191,0.1413246898558669,0.987112449411746,0.681128432641824,1.210244960213806,0.9063682731070783
tnw15.2m,0.8798017094831008,0.3650243870355288,0.5269840941499375,-0.392746910983218,1.030402525365733,1.0078498973249794,0.9509172534152956,0.8866074275260766
tnw15.4m,1.151039706850958,0.7033740615407625,0.4004252262667107,-0.1984328669344848,1.1147479862332057,1.091074000224928,1.1382658339783265,1.0807427851625282
tnw15.6m,1.6618798260824608,1.2478700431473515,0.3463635535416833,0.0522971422483719,1.1311922446807707,1.1021312149025997,1.3257196831829092,1.267853636565076
tnw15.8m,1.858821129683099,1.4781131381780044,0.4001953777505313,0.2114477462021774,1.017160042788544,0.96450740168647,1.375921410949723,1.2926105669879913
tnw15.10m,1.9033012541720007,1.520183526562717,0.4421122769826926,0.2455404134056833,0.9860009710060628,0.9036822844877508,1.394131655250562,1.2837093821918302
tnw15.12m,1.8431351528618216,1.4471061894736683,0.4683029101285404,0.2413630508600606,0.968546317874808,0.849437382458912,1.380088137592882,1.2438437653596532
